Repository,Repo Description,Keyword,Commit Link,Commit Description,Labels,Sentiment
https://github.com/hmcts/launchdarkly-terraform.git,Terraform to create/manage projects within LaunchDarkly. Feature toggles are created directly in the LaunchDarkly portal.,pay,https://github.com/hmcts/launchdarkly-terraform/commit/90ba75a79dc05fe8f12edc0a80831e3148761dd5,Adding Fees & Pay,other-addition-module,
https://github.com/sailthru/terraform-kubernetes-ambassador.git,Terraform module for deploying the Ambassador loadbalancer on Kubernetes.This module is heavily based on the Datawire Ambassador helm chart datawire/ambassador.,efficient,https://github.com/sailthru/terraform-kubernetes-ambassador/commit/c195fb5a78412f9c2f725f8d0e6e72c606ca7e7d,"Set resource requests/limits for statsd sidecar

Need this for the autoscaler to work correctly. Generally pods should
always include resource requests/limits for Kubernetes to be able to
schedule workloads efficiently.",other-false_positive,
https://github.com/tooxie/terraform-workshop.git,Code for the terraform workshop. ,cheap,https://github.com/tooxie/terraform-workshop/commit/002bcce28e46728714fa1e0d20bec6f2559caba2,"Add prod var

What if we want to use less (or cheaper) infrastructure for non-prod systems?","cost-awareness-instance, other-addition-vars",Positive
https://github.com/deptno/terraform-aws-modules.git,personal terraform module,bill,https://github.com/deptno/terraform-aws-modules/commit/49f447bdbb3cf23499e8194e78f852ea1e256d3a,fix: dynamodb billing mode,cost-awareness-billing_mode,Positive
https://github.com/beaulabs/terraform_aws_ec2_instance.git,This Terraform configuration provisions an EC2 instance in AWS.,cheap,https://github.com/beaulabs/terraform_aws_ec2_instance/commit/d6df68da5ae58fb5c650c6be15d9d8e676a129db,a more cheaper instance,cost-saving-instance,Positive
https://github.com/aws-observability/aws-otel-test-framework.git,ADOT Testing Framework,bill,https://github.com/aws-observability/aws-otel-test-framework/commit/c928fe0a05d1e9b8f1ecb1a7dacffecc2800e038,"Fix dynamo DB options and change go X-ray sample app to public (#525)

* fix billing mode write capacity and change xray receiver to public

* fix billing mode write capacity and change xray receiver to public

* fix format for dynamo db",cost-saving-billing_mode,Positive
https://github.com/DoctDocs/doctdocs-infra.git,Infrastructure as code for DoctDocs,bill,https://github.com/DoctDocs/doctdocs-infra/commit/05fc778ed2863fe9755eef8895d8451650468f5f,AWS billing module,other-saving-billing_mode,Neutral
https://github.com/higef/hcloud-tf-kozak-launcher.git,https://github.com/higef/hcloud-tf-kozak-launcher/blob/main/readme/README_en.md,cost,https://github.com/higef/hcloud-tf-kozak-launcher/commit/b6aeac8dfb61a4b34492d5f14a63a7b2059da29c,cost calc added,other-addition-cost_calculator,
https://github.com/ministryofjustice/opg-metrics.git,The Office of the Public Guardian metrics service: Managed by opg-org-infra & Terraform,cost,https://github.com/ministryofjustice/opg-metrics/commit/01f5374775ffa83356e6446b7513153f242783c8,"UML-2084 - Create api key for costs (#41)

* create an api key for costs

* lockfile

* allow management to decrypt",other-false_positive,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer,pay,https://github.com/coreos/tectonic-installer/commit/256ba5e3929d3bb0e1a195d93c02813a5917208c,"Bump Kubernetes/Tectonic versions (#79)

* tectonic: update Nginx Ingress image

* Allows IPv6 DNS resolvers and fixes other issues
* Remove nginx template override config map, previously needed on AWS
to enable port redirection (now uses an annotation on ingress obj)
* https://github.com/kubernetes/ingress/blob/master/controllers/nginx/Changelog.md

* tectonic: bump KVO/TCO

Changes for TCO:
  - Block upgrade for version < 1.5.2-tectonic.2.
  - Remove 'rawURL' support.

Changes for KVO:
  - Add components mapping for 1.5.4+tectonic.1.
  - Add node-agent, checkpointer and tectonic-stats-emmiter into the mapping.
  - Add support for updating the entire manifest during upgrade.

Other changes:
  - Add 'selector' in the deployments to fix the payload so that
    1.5.2-tectonic.2 can upgrade to this payload.

* modules/bootkube: add kubelet client cert flags to API server

Notably fixes `kubectl logs`

* tectonic: bump console to v1.1.1",other-false_positive,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/d3c889d73a3c8b0a48934dd6f338b87da0115b3f,"*.*: Add 'make payload'

Modify the 'make-update-payload.sh' to use terraform to populate the
assets first, then generate the payload.",other-addition-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed inhttps://github.com/openshift/installer..,pay,https://github.com/coreos/tectonic-installer/commit/f674e33023e0e32aefd18cea97449e4502994dae,modules/update-payload/*: Add cluo into tco's payload.,other-addition-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/f91ef619e12b790748753d9afbc79ef2d4eee7d2,"Update KVO to v1.6.4-kvo.3 (#874)

Update KVO to v1.6.4-kvo.3

Also generate a new update-payload.",other-addition-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/7fd24aaf4ff09982992edcedddc5f8046fa28ba4,"update-payload: Fix ""make payload"".

Need to define the variales otherwise the `make payload` command will
fail.

A follow-up PR should move those tectonic operators into a sub-directory
so we don't need to maintain this in the future.",other-addition-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed inhttps://github.com/openshift/installer..,pay,https://github.com/coreos/tectonic-installer/commit/4e7f5f4b37b1ae7bc6a64a6863d1ff1668168776,"updater: Move operators and appversions into subdirectories.

This helps to clean up the 'make payload' scripts.",other-performance-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed inhttps://github.com/openshift/installer..,pay,https://github.com/coreos/tectonic-installer/commit/6acbf2c17a0aa2e55b8e8142fe87d1a8b3bfae4e,modules/update-payload: Fix appversion for tectonic-etcd.,other-performance-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/75dff4c055b0f535ac1ad2e26e62a3d92eb0aad9,config.tf/payload.json: Bump kvo to v1.6.7.,other-addition-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/34db444369fbb4eb06a25f4a155147027bb0a3d6,"modules/bootkube: generate etcd tls zip content and reuse in aws

Currently when distributing all keys via userdata we hit the AWS limit
of 19k.

This solves it by distributing zipped content reducing the userdata
payload to 14k.",other-performance-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/23fc5aeb7ad1474268af80708507c92d7356e5e9,"Fix undefined variables in upload-payload/assets.tf.

Also plans to add a check in jenkins job for each PR so 'make payload'
won't get broken.",other-performance-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/4835a24980fa021ebbf9ba926e85a9b654d5421a,"config.tf, payload.json: Bump TCO to 0.4.0.

CHANGELOG:
- Add support to get a specific version of payload
- Add support to list all payloads in order
- Bump operator client
- Refactor on TCO and allow TCO to upgrade through every intermediate versions
- Allow TCO to upgrade across minor versions",other-performance-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/17ba2c7a09c96bac2e056c79677e93adaaf7eba1,kvo: v1.7.1-kvo.4 & regenerate update payload.,other-refactor-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/496a752be5d86248ce6c96e2ef807217f4c4cdf0,"*: Add or migrate to using the tectonic-cluo-operator

* tectonic-cluo-operator will manage the CLUO v0.3.0 update-operator
(coordinator) deployment and update-agent daemonset
* update-operator will stop managing the update-agent daemonset
* update-operator will auto-label Container Linux nodes
* update-agent will node select for the CLUO agent=true label
* Generate update payload for tectonic-cluo-operator",other-refactor-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/8c1ad79746f4d219cae065be1029940cfd6e988d,"config.tf, payload.json: Bump TCO and KVO.

TCO: Fix and improve log lines, fix migration.
KVO: Fix deployment/daemonset upgrade for 'stategy:replace'.",other-refactor-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/8a1b6ce00b6b0ce69d09d977857d9a5dec7f5890,"Bump Hyperkube to 1.7.5 (and all the related versions). (#1912)

* Bump Hyperkube to 1.7.5 (and all the related versions).

* Update payload",other-refactor-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/4e25dda17e95d0da8becd962a9d41385dfccb2a0,"config.tf: bump kvo, node-agent, and tco versions.

- kvo: v1.7.5-kvo.5
- node-agent: v1.7.5-kvo.3
- tco: v0.5.4

Also regenerate the update payload to match.",other-refactor-payload,
https://github.com/coreos/tectonic-installer.git,The CoreOS and OpenShift teams are now working together to integrate Tectonic and Open Shift into a converged platform which will be developed in https://github.com/openshift/installer.,pay,https://github.com/coreos/tectonic-installer/commit/8ae81bba41ec93509f21ea92fcc15f1a06f84fd3,"config.tf: Bump tectonic version to 1.8.

This is a placeholder so that the release automation job can generate
a new payload which then nightly upgrade test job can upgrade to from
the last release.

Ideally this should be down automatically when we cut a release branch.",other-refactor-payload,
https://github.com/dwp/dataworks-aws-kickstart-adg.git,The Kickstart Analytical Dataset Generation (ADG) cluster is an ETL cluster which extract data kickstart data from different buckets and transform it into parquet files stored on S3 bucket. ,pay,https://github.com/dwp/dataworks-aws-kickstart-adg/commit/397e94568f5705f5065652974687b231d2bacdaf,"Restructring code (#19)

* Add changes related grant application and payment

* Add changes related grant application and payment

* Fix the issue where e2e_test_flg is not sensed correctly in the code

* Add Changes related to it

* byuc-383 add code for grant applications

* Add inital changes for grant application and payment module

* Add modified githooks

* Add new job for development

* Change Last process date into string from datetime class

* Add changes related grant application

* convert boolean values to string

* convert boolean values to string

* changed the published location

* update the json record layout

* Remove test and other modules

* Change the CI pipeline based on new code structure

* Removed the test jobs from the group

* remove sonarcloud quality gate error",other-refactor-payload,
https://github.com/dwp/dataworks-aws-kickstart-adg.git,The Kickstart Analytical Dataset Generation (ADG) cluster is an ETL cluster which extract data kickstart data from different buckets and transform it into parquet files stored on S3 bucket. ,pay,https://github.com/dwp/dataworks-aws-kickstart-adg/commit/dee313b4acb08a052dae842cc573f68c108a25db,"Update the kickstarter data pipeline for payment module (#50)

* Payment updates

* Payment updates

* Update the kickstarter data pipeline for payment module

* terraform local remove payment

Co-authored-by: kamal sapkota <kamal.sapkota@engineering.digital.dwp.gov.uk>",other-refactor-payload,
https://github.com/dwp/dataworks-aws-kickstart-adg.git,The Kickstart Analytical Dataset Generation (ADG) cluster is an ETL cluster which extract data kickstart data from different buckets and transform it into parquet files stored on S3 bucket. ,pay,https://github.com/dwp/dataworks-aws-kickstart-adg/commit/d7b6c8f278e24c173a82470b036570d4e8c3bdd0,"restore e2e test in dev,qa and set cluster to run  payment module in production (#61)",other-bug_fix-modules,
https://github.com/dwp/dataworks-aws-kickstart-adg.git,The Kickstart Analytical Dataset Generation (ADG) cluster is an ETL cluster which extract data kickstart data from different buckets and transform it into parquet files stored on S3 bucket. ,pay,https://github.com/dwp/dataworks-aws-kickstart-adg/commit/a095b0c4d103e972a6caae0196ca22623577b9d4,Fix for payments module (#62),other-bugfix-modules,
https://github.com/ken-matsui/poac-infrastructure.git,"These files are provided to disclose the infrastructure configuration. Therefore, it is impossible to create the same environment without editing.",cost,https://github.com/ken-matsui/poac-infrastructure/commit/02c710b8259f493c475021fc9eac23b871305ae6,"cost reduction
https://aws.amazon.com/about-aws/whats-new/2017/06/amazon-rds-enables-encryption-at-rest-for-additional-t2-instance-types",cost-saving-provider,Positive
https://github.com/chad-russell-git/terraform-oci-cis-landing-zone.git,CIS OCI Landing Zone Quick Start Template,cost,https://github.com/chad-russell-git/terraform-oci-cis-landing-zone/commit/6a696dfa2dd5716a65b10fc3277cd9e994b8b30a,cost tracking tag set to true,cost-awareness-policy,Neutral
https://github.com/chad-russell-git/terraform-oci-cis-landing-zone.git,CIS OCI Landing Zone Quick Start Template,cost,https://github.com/chad-russell-git/terraform-oci-cis-landing-zone/commit/e6fce932c806b12eeda73846bcaeac0a7403744d,File naming updated: using cost not gov,other-false_positive,
https://github.com/chad-russell-git/terraform-oci-cis-landing-zone.git,CIS OCI Landing Zone Quick Start Template,cost,https://github.com/chad-russell-git/terraform-oci-cis-landing-zone/commit/7247909ecd98c2d511316392f22cb3877f05250b,added policies for cost management,cost-awareness-policy,Neutral
https://github.com/jamesvsshark/twenty-nineteen-iac.git,This repository contains the necessary infrastructure as code (iac) to get our twenty-nineteen startup up and running. This should be the first of the projects to run as it will create the necessary services on AWS (Amazon Web Services).,cost,https://github.com/jamesvsshark/twenty-nineteen-iac/commit/517611bacd704223bb6a4f37918e0c186f8b1fef,"Merged in remove-keys-from-main (pull request #1)

use backend config via pipeline

* use backend config via pipeline

* fix typo in env var name

Approved-by: James Simoes <james@pocostud.io>",other-false_positive,
https://github.com/ralwani/sap-oracle.git,Tis repository contains the tooling designed to enable automated deployment for SAP on Azure.,bill,https://github.com/ralwani/sap-oracle/commit/1ee50dc175053dc280db5d0321be309eda89d8ab,"MVP Release (#1195)

This release includes the first version of the Ansible playbooks that can be used to configure the Virtual machines and install SAP Hana. The repository also contains a sample Bill of Material that can be used to download the required SAP software.",other-false_positive,
https://github.com/ministryofjustice/modernisation-platform.git,This is the Ministry of Justice Modernisation Platform team's repository for core work on the Modernisation Platform.,cost,https://github.com/ministryofjustice/modernisation-platform/commit/bc346a5604045d29b4b427c926f3e70d69440698,"enable PITR to squash CKV_AWS_28

Enables continuous backups. In this case the cost is negligeable due to low volumes of data being stored in this data base. https://aws.amazon.com/dynamodb/pricing/on-demand/","cost-awareness-provider, cost-increase-provider",Positive
https://github.com/guilhermerenew/infra-cost.git,"Infracost shows cloud cost estimates for Terraform. It lets DevOps, SRE and engineers see a cost breakdown and understand costs before making changes, either in the terminal or pull requests. ",cost,https://github.com/guilhermerenew/infra-cost/commit/20b30529073ee6ed470261afb3e05c76e404b140,include infracost.yaml file,other-addition-cost_calculator,
https://github.com/guilhermerenew/infra-cost.git,"Infracost shows cloud cost estimates for Terraform. It lets DevOps, SRE and engineers see a cost breakdown and understand costs before making changes, either in the terminal or pull requests. ",cost,https://github.com/guilhermerenew/infra-cost/commit/ba858d94e29d03e3e81533df8cd8bc85b9f176f1,mega-fix for adjustments in costing,cost-saving-unknown,Positive
https://github.com/UriKatsirPrivate/gcp-landing-zone.git,"A solution that helps customers quickly set up a secure, multi-project GCP environment based on GCP best practices.",bill,https://github.com/UriKatsirPrivate/gcp-landing-zone/commit/0160ab1f89489abec4120ef4102bf5964b0af2fe,Use billing account with variable,cost-awareness-billing_mode,Neutral
https://github.com/UriKatsirPrivate/gcp-landing-zone.git,"A solution that helps customers quickly set up a secure, multi-project GCP environment based on GCP best practices.",bill,https://github.com/UriKatsirPrivate/gcp-landing-zone/commit/2d5dbcd0ca7ac5d5e2dd8971b40fce5206907e97,billing logs project,other-refactor-billing,
https://github.com/AJarombek/global-aws-infrastructure.git,This repository contains all the global infrastructure-as-code (IaC) for Andrew Jarombek. All other IaC repositories are referenced in separate directories and README.md files.,cost,https://github.com/AJarombek/global-aws-infrastructure/commit/4a89f4b8235961275fa0e6aaf20848f2b8b7e733,"budget alarms for high costs, budget & cloudtrail tests",cost-awareness-unknown,Negative
https://github.com/AJarombek/global-aws-infrastructure.git,This repository contains all the global infrastructure-as-code (IaC) for Andrew Jarombek. All other IaC repositories are referenced in separate directories and README.md files.,cost,https://github.com/AJarombek/global-aws-infrastructure/commit/61e07012be3f140daf18d33b3be19c80147f12f2,daily cost lambda infrastructure,cost-awareness-unknown,Neutral
https://github.com/gudlyf/TerraformOpenVPN.git,"Terraform scripts to create a quick OpenVPN server in the cloud (AWS, Azure, Google (GCP), more to come). Can be trivially modified to work with other cloud providers.",cheap,https://github.com/gudlyf/TerraformOpenVPN/commit/be1245d8634025277ba79a4155ee88d7eaffcdfb,"- Updated Ubuntu to 16.04
- Instance type is not t3.nano (cheaper)
- terraform fmt
- Modifications to userdata.sh to adhere to new Ubuntu version, DNS
changes, and handling of apt upgrade without CLI.",cost-saving-instance,Neutral
https://github.com/gudlyf/TerraformOpenVPN.git,"Terraform scripts to create a quick OpenVPN server in the cloud (AWS, Azure, Google (GCP), more to come). Can be trivially modified to work with other cloud providers.",cost,https://github.com/gudlyf/TerraformOpenVPN/commit/4bc861c153b65a2d7c0d5f3fac30ab72b0fc6942,"Updated VM size to B2s to reduce cost

Updated from A0 to B2s to reduce cost",cost-saving-storage,Positive
https://github.com/y-myk/terraform.git,Terraform repo to automate BIG-IP VM deployment in public cloud environments.,pay,https://github.com/y-myk/terraform/commit/451b4a7323cebfef851a3fce9c00c48227a54aa3,modified RG variable value in Azure/standalone/3NIC/PAYG/variables.tf,other-false_positive,
https://github.com/DuckbillGroup/onboarding-cft.git,"We’ll be accessing your AWS accounts via an assumed role rather than IAM account. This needs to be set up in every account you have. If that’s not feasible, then apply it to your master payer account and your largest (by spend) account.",bill,https://github.com/DuckbillGroup/onboarding-cft/commit/10f8574b6cd68c389be9ac723902fd5ab0d1593b,Change AWS account to new duckbill-production account.,other-false_positive,
https://github.com/cloudchacho/terraform-google-hedwig-subscription.git,Hedwig App Subscription Terraform module,expense,https://github.com/cloudchacho/terraform-google-hedwig-subscription/commit/ab8808de2e078c572e9d88fdc57ff91b8e4acc36,Remove dataflow since that pattern is prohibitively expensive (#3),cost-saving-feature,Negative
https://github.com/ohoareau/terraform-modules.git,NoneNO README,bill,https://github.com/ohoareau/terraform-modules/commit/d066b8dfa3b03df200afa9a521126a83884cdfb3,dynamodb: read/write capacities to 0 if pay per request billing mode,cost-awareness-billing_mode,Neutral
https://github.com/ohoareau/terraform-modules.git,NO README,pay,https://github.com/ohoareau/terraform-modules/commit/531b6bd1a2d661792deb7caf2303effdc5f6818a,feat(lambda-api-payment): creation,other-addition-vars,
https://github.com/albclim/PayHub.git,NO README,pay,https://github.com/albclim/PayHub/commit/12ae91e7575102c9a3229f54416ffa010d141b1e,"Payhub v1

Changes on v1",other-false_positive,
https://github.com/freeyourscience/infrastructure.git,terraform code for the Wissenschaftsbefreiungsfront,pay,https://github.com/freeyourscience/infrastructure/commit/5dc65e8155bbbd0b92366cefe7edc46e534db9ba,add domainmapping to dev.paywall.lol #11,other-false_positive,
https://github.com/freeyourscience/infrastructure.git,terraform code for the Wissenschaftsbefreiungsfront,bill,https://github.com/freeyourscience/infrastructure/commit/abef03ad6e92a62681a1e00fb2dc9402073a6722,enable cloudbilling service #11,other-addition-billing,
https://github.com/FXinnovation/fx-terraform-module-multi-template.git,Template repository for public terraform modules,bill,https://github.com/FXinnovation/fx-terraform-module-multi-template/commit/8b3a9993d15ebd2e6a1457a612e4ba9d7748fd0d,"fix: get rid of example disabled

as discussed with @user  we don't need the 'disabled' example
anymore.",other-false_positive,
https://github.com/structurefall/jamulus-builder.git,NO README,cost,https://github.com/structurefall/jamulus-builder/commit/7190744187e0aed2df8ce84f2a944294d6d4fc5b,"Redid networking ton one subnet to eliminate costly NAT, added SSH in",cost-saving-networking-NAT,Neutral
https://github.com/alphagov/govuk-aws.git,This is the code that deploys GOV.UK in AWS.,cost,https://github.com/alphagov/govuk-aws/commit/6a801ca187afd2066df0b9ab9e5c6afc4e01dd46,"Add lifecycle rules to database backups

Add lifecycle rules to our database backups. In line with what we
currently do, keep backups for 3 months, but move them to lower storage
costs after 30 and 60 days respectively.

With mongodb, keep ""regular"" backups to 7 days so we have point in time
backups that go back 7 days. Keep ""daily"" backups for 90 days.",other-false_positive,
https://github.com/alphagov/govuk-aws.git,This is the code that deploys GOV.UK in AWS.,pay,https://github.com/alphagov/govuk-aws/commit/6488091456429ed61264b9cad841eeb6bf871e32,"Use all of available glacier time for backups

Glacier charges an [early delete
fee](https://aws.amazon.com/premiumsupport/knowledge-center/glacier-early-delete-fees/)
for deleting objects which are stored for less than 90 days. This
appears to be calculated by charging you for 90 days of storage
regardless of the length of time things are stored in glacier, and
calling this an early deletion fee. This is a footnote on the [pricing
page](https://aws.amazon.com/glacier/pricing/) which reads

> Glacier archives have a minimum 90 days of storage, and archives
> deleted before 90 days incur a pro-rated charge equal to the storage
> charge for the remaining days

We may as well make use of this
additional time as we are already paying for it through the early
deletion fee.",cost-awareness-storage,Positive
https://github.com/alphagov/govuk-aws.git,This is the code that deploys GOV.UK in AWS.,cheap,https://github.com/alphagov/govuk-aws/commit/6cfda6ada5137b232ff442ae9f2aedc8520ee1b4,"Move from m4.large to m5.large

The new gen have more CPU and are cheaper.

           ECPU
m4.large   6.5  8  EBS Only  $0.111 per Hour
m5.large   10   8  EBS Only  $0.107 per Hour","cost-saving-instance, cost-awareness-instance",Positive
https://github.com/alphagov/govuk-aws.git,,cheap,https://github.com/alphagov/govuk-aws/commit/aeb3bfbe393cdfc02e62b812843ed75cf5f245e4,"Move from m4.xlarge to m5.xlarge

The new gen have more CPU and are cheaper.",cost-saving-instance,Positive
https://github.com/alphagov/govuk-aws.git,This is the code that deploys GOV.UK in AWS.,cheap,https://github.com/alphagov/govuk-aws/commit/5fa5da9756f12559b490217dd5b173db48e7f2a9,"Resize graphite machine type

Update machine type to m5.xlarge. It should be cheaper, we tried to
resize it before but it didn't work because of disk labels. Trying again
after the 'Device' tag was added to the EBS volume.",cost-saving-instance,Positive
https://github.com/alphagov/govuk-aws.git,This is the code that deploys GOV.UK in AWS.,cost,https://github.com/alphagov/govuk-aws/commit/2ee1ff690416016dfed50dab6f516559f2270bf9,"Make our monitoring instances m5.large instead of t2

The monitoring instance that runs Icinga and Smokey in Integration has
begun running out of CPU credits. This is making it difficult to
diagnose problems elsewhere in the stack. Making it an m5.large costs
~$77pcm instead of ~$36pcm, and doubles the RAM.","cost-saving-instance, cost-awareness-instance",Neutral
